data_id,source_id,age,production,birth_order,ethnicity,sex
51842,Marchman,26,456,Third,Asian,Male
51843,Marchman,17,22,Fourth,Hispanic,Male
51844,Marchman,16,36,Third,Other,Male
51845,Marchman,19,92,Third,Hispanic,Male
51846,Marchman,21,32,Second,Hispanic,Female
51847,Marchman,16,9,Second,Black,Male
51848,Marchman,26,54,Second,Other,Male
51849,Marchman,22,327,Third,White,Female
51850,Marchman,29,369,Second,Hispanic,Male
51851,Marchman,24,34,Second,White,Male
51852,Marchman,23,66,Second,White,Female
51853,Marchman,28,386,Second,Other,Female
51854,Marchman,20,190,Second,Other,Female
51855,Marchman,19,23,Second,Black,Male
51856,Marchman,29,297,Second,Hispanic,Female
51857,Marchman,21,73,Third,Other,Male
51858,Marchman,25,138,Second,Hispanic,Male
51859,Marchman,29,496,Third,White,Male
51860,Marchman,24,92,Second,Other,Female
51861,Marchman,18,59,Third,White,Female
51862,Marchman,20,156,Second,Black,Male
51863,Marchman,27,570,Second,White,Female
51864,Marchman,28,350,Fourth,Black,Male
51865,Marchman,22,28,Second,White,Male
51866,Marchman,29,315,Third,Other,Male
51867,Marchman,25,41,Third,Hispanic,Male
51868,Marchman,26,502,Second,Other,Female
51869,Marchman,25,415,Third,White,Female
51870,Marchman,21,68,Second,White,Male
51871,Marchman,23,109,Second,White,Female
51872,Marchman,17,17,Second,Hispanic,Male
51873,Marchman,23,145,Second,Other,Male
51874,Marchman,21,86,Third,White,Male
51875,Marchman,21,151,Third,Other,Male
51876,Marchman,21,160,Second,Other,Female
51877,Marchman,27,584,Third,Other,Female
51878,Marchman,26,466,Third,Other,Female
51879,Marchman,24,148,Second,Other,Male
51880,Marchman,20,219,Third,White,Female
51881,Marchman,28,540,Fourth,Hispanic,Male
51882,Marchman,23,160,Fourth,Black,Male
51883,Marchman,20,23,Third,Other,Male
51884,Marchman,26,247,Second,White,Male
51885,Marchman,30,117,Third,Hispanic,Male
51886,Marchman,28,387,Sixth,White,Female
51887,Marchman,29,375,Fourth,Black,Male
51888,Marchman,25,564,Fourth,Other,Male
51889,Marchman,27,300,Sixth,White,Male
51890,Marchman,19,111,Second,Other,Female
51891,Marchman,25,178,Second,Other,Male
51892,Marchman,22,44,Second,White,Female
51893,Marchman,20,296,Second,Hispanic,Male
51894,Marchman,26,183,Third,White,Male
51895,Marchman,30,451,Second,White,Female
51896,Marchman,22,385,Second,Other,Female
51897,Marchman,23,169,Fourth,White,Female
51898,Marchman,25,551,Third,Black,Female
51899,Marchman,22,49,Second,White,Female
51900,Marchman,27,262,Fifth,Black,Male
51901,Marchman,18,23,Third,Black,Male
51902,Marchman,20,4,Third,Hispanic,Male
51903,Marchman,18,99,Third,Other,Male
51904,Marchman,20,104,Third,Hispanic,Male
51905,Marchman,23,259,Third,White,Male
51906,Marchman,26,131,Second,White,Male
51907,Marchman,27,503,Fourth,White,Male
51908,Marchman,27,522,First,White,Female
51909,Marchman,26,547,Fourth,White,Female
51910,Marchman,21,476,Third,White,Male
51911,Marchman,28,451,First,White,Female
51912,Marchman,26,47,Third,White,Male
51913,Marchman,26,570,Second,White,Male
51914,Marchman,29,75,Second,White,Male
51915,Marchman,25,541,Second,White,Female
51916,Marchman,30,603,Second,White,Male
51917,Marchman,25,139,First,White,Female
51918,Marchman,27,215,First,White,Female
51919,Marchman,27,677,First,White,Female
51920,Marchman,25,23,Third,White,Female
51921,Marchman,28,414,Third,White,Male
51922,Marchman,27,134,Fourth,White,Female
51923,Marchman,25,163,Third,White,Female
51924,Marchman,25,479,First,White,Male
51925,Marchman,27,366,Second,White,Female
51926,Marchman,28,433,Second,White,Male
51927,Marchman,27,29,Fourth,White,Male
51928,Marchman,27,424,First,White,Male
51929,Marchman,27,295,Third,White,Female
51930,Marchman,30,324,Second,Black,Female
51931,Marchman,19,60,Fourth,Black,Female
51932,Marchman,25,45,Fourth,Other,Male
51933,Marchman,25,38,First,Black,Male
51934,Marchman,27,307,Second,Black,Female
51935,Marchman,24,172,First,Black,Female
51936,Marchman,21,554,First,Black,Male
51937,Marchman,19,580,First,Black,Female
51938,Marchman,28,106,First,Black,Male
51939,Marchman,22,327,Third,Black,Female
51940,Marchman,16,83,First,Black,Male
51941,Marchman,27,374,Third,Black,Female
51942,Marchman,21,152,Third,Black,Male
51943,Marchman,30,357,Third,Black,Male
51944,Marchman,18,42,Second,Black,Female
51945,Marchman,17,21,Second,Black,Female
51946,Marchman,27,235,Second,Other,Male
51947,Marchman,18,127,Fourth,Black,Female
51948,Marchman,22,425,Third,Black,Female
51949,Marchman,22,179,First,Black,Female
51950,Marchman,19,29,First,Black,Female
51951,Marchman,28,516,Third,Black,Female
51952,Marchman,17,111,First,Black,Male
51953,Marchman,18,76,First,Black,Male
51954,Marchman,29,173,First,Black,Male
51955,Marchman,22,76,First,Black,Male
51956,Marchman,16,83,First,Black,Male
51957,Marchman,26,657,First,Black,Female
51958,Marchman,20,137,First,Black,Male
51959,Marchman,28,276,First,Black,Female
51960,Marchman,28,362,Third,Black,Female
51961,Marchman,20,475,First,Black,Female
51962,Marchman,17,290,First,Black,Male
51963,Marchman,28,607,First,Black,Male
51964,Marchman,27,314,Third,Black,Male
51965,Marchman,20,226,First,Black,Female
51966,Marchman,30,337,First,Black,Female
51967,Marchman,30,566,Second,Black,Male
51968,Marchman,27,607,Second,Black,Male
51969,Marchman,26,354,Fifth,Black,Female
51970,Marchman,23,326,First,Black,Male
51971,Marchman,26,338,First,Black,Female
51972,Marchman,21,169,First,Black,Male
51973,Marchman,16,7,Second,Black,Female
51974,Marchman,17,25,First,Black,Male
51975,Marchman,19,52,First,Black,Male
51976,Marchman,19,434,First,Black,Female
51977,Marchman,21,10,Third,Black,Male
51978,Marchman,25,77,Second,Black,Male
51979,Marchman,25,457,Fourth,Black,Male
51980,Marchman,25,151,First,Black,Male
51981,Marchman,20,50,Second,Black,Female
51982,Marchman,29,381,First,Black,Female
51983,Marchman,26,212,Third,Black,Male
51984,Marchman,27,116,Second,Black,Male
51985,Marchman,24,245,Third,Black,Male
51986,Marchman,20,65,First,Black,Female
51987,Marchman,24,417,First,Black,Female
51988,Marchman,19,25,First,Black,Male
51989,Marchman,24,394,First,White,Male
51990,Marchman,19,85,Third,White,Male
51991,Marchman,27,111,Second,White,Male
51992,Marchman,25,199,Second,White,Male
51993,Marchman,20,370,First,White,Female
51994,Marchman,29,639,First,Hispanic,Female
51995,Marchman,21,312,First,White,Male
51996,Marchman,27,585,Second,White,Female
51997,Marchman,27,331,First,White,Male
51998,Marchman,19,103,First,White,Female
51999,Marchman,20,73,Fourth,White,Female
52000,Marchman,30,575,First,White,Female
52001,Marchman,23,551,First,White,Female
52002,Marchman,17,10,First,White,Female
52003,Marchman,28,253,Fourth,White,Female
52004,Marchman,18,156,First,White,Female
52005,Marchman,26,430,Second,White,Male
52006,Marchman,17,29,Second,White,Female
52007,Marchman,29,349,NA,White,Male
52008,Marchman,18,124,Second,White,Male
52009,Marchman,18,28,First,White,Female
52010,Marchman,22,302,Second,White,Female
52011,Marchman,29,560,First,Hispanic,Female
52012,Marchman,27,305,Second,White,Male
52013,Marchman,30,314,Second,White,Male
52014,Marchman,20,345,First,White,Male
52015,Marchman,21,317,First,White,Male
52016,Marchman,25,138,Second,White,Male
52017,Marchman,28,468,Second,White,Female
52018,Marchman,26,40,Third,White,Male
52019,Marchman,27,632,Fourth,White,Male
52020,Marchman,24,87,Third,White,Female
52021,Marchman,20,100,First,White,Female
52022,Marchman,29,656,First,White,Male
52023,Marchman,20,188,First,White,Male
52024,Marchman,26,273,Third,White,Female
52025,Marchman,17,90,First,White,Female
52026,Marchman,21,252,First,White,Female
52027,Marchman,18,34,First,White,Male
52028,Marchman,23,315,First,White,Male
52029,Marchman,27,429,First,Black,Female
52030,Marchman,23,76,Second,White,Male
52031,Marchman,23,405,Second,White,Male
52032,Marchman,24,41,Second,Other,Female
52033,Marchman,27,324,Second,White,Male
52034,Marchman,30,675,First,White,Female
52035,Marchman,27,267,Second,White,Male
52036,Marchman,30,386,First,White,Male
52037,Marchman,30,393,First,White,Male
52038,Marchman,20,211,First,White,Male
52039,Marchman,18,29,First,Hispanic,Female
52040,Marchman,21,483,First,White,Female
52041,Marchman,30,638,Second,White,Male
52042,Marchman,24,339,First,Hispanic,Female
52043,Marchman,26,72,First,Hispanic,Male
52044,Marchman,17,176,First,White,Male
52045,Marchman,30,449,First,Hispanic,Male
52046,Marchman,28,528,Second,White,Female
52047,Marchman,20,66,First,White,Male
52048,Marchman,22,154,First,Hispanic,Male
52049,Marchman,24,501,First,White,Female
52050,Marchman,25,448,First,White,Male
52051,Marchman,26,69,First,White,Male
52052,Marchman,20,84,First,White,Male
52053,Marchman,25,484,Third,White,Female
52054,Marchman,24,222,Third,White,Male
52055,Marchman,16,291,Second,Black,Female
52056,Marchman,16,58,First,White,Female
52057,Marchman,26,64,Second,Hispanic,Male
52058,Marchman,20,47,First,White,Male
52059,Marchman,24,150,Second,Hispanic,Female
52060,Marchman,20,99,Second,White,Male
52061,Marchman,23,379,First,White,Female
52062,Marchman,17,131,First,Other,Female
52063,Marchman,20,205,First,White,Male
52064,Marchman,26,610,First,White,Male
52065,Marchman,17,14,Fourth,White,Female
52066,Marchman,17,7,Third,Other,Male
52067,Marchman,22,410,Second,White,Female
52068,Marchman,27,612,Third,White,Male
52069,Marchman,25,66,Second,Other,Male
52070,Marchman,20,159,First,White,Female
52071,Marchman,22,100,First,White,Male
52072,Marchman,22,8,First,White,Male
52073,Marchman,24,218,Second,White,Male
52074,Marchman,20,5,Second,White,Female
52075,Marchman,21,59,First,Hispanic,Male
52076,Marchman,26,141,First,White,Female
52077,Marchman,18,119,First,White,Female
52078,Marchman,23,159,First,White,Male
52079,Marchman,25,473,First,White,Female
52080,Marchman,21,327,First,White,Female
52081,Marchman,30,629,First,Hispanic,Male
52082,Marchman,25,451,First,White,Female
52083,Marchman,22,67,Second,White,Male
52084,Marchman,30,644,First,White,Male
52085,Marchman,22,568,First,White,Male
52086,Marchman,26,243,Second,Black,Female
52087,Marchman,26,239,Third,Black,Female
52088,Marchman,29,640,First,White,Female
52089,Marchman,27,366,First,Hispanic,Male
52090,Marchman,20,65,First,White,Male
52091,Marchman,24,128,Third,White,Female
52092,Marchman,26,351,First,White,Female
52093,Marchman,25,301,First,White,Male
52094,Marchman,22,377,Third,White,Female
52095,Marchman,29,106,Second,White,Male
52096,Marchman,29,490,First,Asian,Male
52097,Marchman,30,581,First,Hispanic,Male
52098,Marchman,17,219,First,Hispanic,Female
52099,Marchman,24,94,Second,White,Male
52100,Marchman,19,219,Second,White,Female
52101,Marchman,21,409,First,White,Female
52102,Marchman,18,118,Second,White,Male
52103,Marchman,24,238,First,White,Female
52104,Marchman,25,528,First,White,Female
52105,Marchman,16,17,Second,White,Female
52106,Marchman,29,459,First,Black,Male
52107,Marchman,24,574,Second,White,Female
52108,Marchman,29,536,First,White,Male
52109,Marchman,16,103,First,White,Female
52110,Marchman,18,42,Second,White,Female
52111,Marchman,26,577,First,White,Female
52112,Marchman,19,237,First,White,Female
52113,Marchman,29,444,Second,White,Male
52114,Marchman,26,298,First,Asian,Male
52115,Marchman,18,11,First,White,Male
52116,Marchman,20,422,First,White,Female
52117,Marchman,18,147,Second,White,Male
52118,Marchman,20,311,First,Hispanic,Male
52119,Marchman,27,667,First,White,Female
52120,Marchman,22,164,First,White,Male
52121,Marchman,19,29,First,White,Male
52122,Marchman,20,481,First,White,Male
52123,Marchman,24,210,Second,White,Female
52124,Marchman,20,67,Second,White,Male
52125,Marchman,30,553,Third,White,Female
52126,Marchman,18,128,First,Other,Female
52127,Marchman,30,480,Second,Black,Male
52128,Marchman,29,680,First,White,Female
52129,Marchman,25,526,Third,White,Female
52130,Marchman,24,203,First,Hispanic,Male
52131,Marchman,19,309,First,White,Female
52132,Marchman,19,313,First,White,Female
52133,Marchman,29,367,First,White,Male
52134,Marchman,30,508,First,White,Male
52135,Marchman,18,90,First,White,Female
52136,Marchman,25,126,Second,White,Female
52137,Marchman,21,289,Third,White,Female
52138,Marchman,21,246,First,White,Male
52139,Marchman,19,344,Second,White,Female
52140,Marchman,30,615,First,White,Male
52141,Marchman,17,488,First,White,Female
52142,Marchman,24,601,First,White,Female
52143,Marchman,28,298,First,Hispanic,Male
52144,Marchman,23,27,Second,Other,Female
52145,Marchman,18,31,First,White,Male
52146,Marchman,18,202,First,White,Female
52147,Marchman,16,42,First,White,Female
52148,Marchman,19,229,First,Asian,Female
52149,Marchman,30,595,First,White,Male
52150,Marchman,29,615,First,White,Female
52151,Marchman,20,3,First,White,Male
52152,Marchman,21,93,Third,White,Female
52153,Marchman,18,33,Third,White,Male
52154,Marchman,26,409,First,Hispanic,Male
52155,Marchman,24,242,First,Hispanic,Female
52156,Marchman,27,381,First,White,Male
52157,Marchman,18,26,Second,White,Male
52158,Marchman,30,627,First,White,Male
52159,Marchman,28,256,First,Black,Male
52160,Marchman,28,442,First,Other,Male
52161,Marchman,19,50,First,Black,Female
52162,Marchman,29,575,First,White,Female
52163,Marchman,30,584,First,White,Male
52164,Marchman,16,27,First,White,Female
52165,Marchman,22,20,First,White,Female
52166,Marchman,19,471,First,White,Female
52167,Marchman,19,22,Second,White,Female
52168,Marchman,17,100,Fourth,White,Male
52169,Marchman,19,26,Third,White,Male
52170,Marchman,26,562,Second,White,Female
52171,Marchman,16,49,First,White,Female
52172,Marchman,26,490,First,White,Male
52173,Marchman,29,584,First,Asian,Male
52174,Marchman,29,173,First,White,Male
52175,Marchman,28,585,First,White,Female
52176,Marchman,27,519,First,White,Female
52177,Marchman,16,182,First,White,Female
52178,Marchman,29,364,Fourth,White,Male
52179,Marchman,21,20,First,White,Male
52180,Marchman,26,229,First,White,Male
52181,Marchman,23,210,Second,White,Male
52182,Marchman,30,442,Second,White,Male
52183,Marchman,24,394,First,White,Female
52184,Marchman,21,102,Second,White,Male
52185,Marchman,18,183,First,White,Male
52186,Marchman,22,185,First,White,Female
52187,Marchman,17,124,Second,White,Female
52188,Marchman,27,508,First,Hispanic,Female
52189,Marchman,21,80,Second,White,Male
52190,Marchman,18,13,Third,White,Female
52191,Marchman,26,404,First,White,Male
52192,Marchman,26,595,First,White,Male
52193,Marchman,28,198,First,White,Male
52194,Marchman,23,522,Second,White,Male
52195,Marchman,28,564,First,White,Female
52196,Marchman,19,68,First,White,Female
52197,Marchman,24,391,First,White,Male
52198,Marchman,22,452,First,White,Female
52199,Marchman,26,531,Second,White,Female
52200,Marchman,22,443,Second,Hispanic,Female
52201,Marchman,19,25,First,White,Female
52202,Marchman,28,513,First,White,Female
52203,Marchman,25,435,First,Asian,Female
52204,Marchman,21,398,First,White,Female
52205,Marchman,20,19,First,Hispanic,Female
52206,Marchman,22,569,Second,White,Male
52207,Marchman,23,315,First,White,Female
52208,Marchman,23,340,Third,White,Male
52209,Marchman,22,44,Second,White,Male
52210,Marchman,23,427,First,White,Female
52211,Marchman,22,473,First,White,Male
52212,Marchman,20,218,First,White,Male
52213,Marchman,28,674,First,White,Female
52214,Marchman,24,350,First,White,Male
52215,Marchman,21,185,Third,White,Male
52216,Marchman,18,8,First,White,Female
52217,Marchman,17,46,First,Hispanic,Female
52218,Marchman,25,183,Third,White,Male
52219,Marchman,17,34,First,White,Female
52220,Marchman,24,322,Second,White,Female
52221,Marchman,24,397,Second,Asian,Female
52222,Marchman,24,235,First,White,Female
52223,Marchman,20,357,Second,White,Female
52224,Marchman,21,140,Third,White,Male
52225,Marchman,17,107,First,Hispanic,Male
52226,Marchman,27,648,First,White,Female
52227,Marchman,24,550,First,White,Female
52228,Marchman,19,61,Second,White,Female
52229,Marchman,24,278,Second,Black,Male
52230,Marchman,22,175,First,Other,Female
52231,Marchman,30,373,Third,White,Female
52232,Marchman,24,306,First,White,Female
52233,Marchman,30,519,First,White,Male
52234,Marchman,19,63,Second,White,Female
52235,Marchman,24,275,Second,White,Female
52236,Marchman,23,327,Second,White,Male
52237,Marchman,26,541,First,White,Female
52238,Marchman,21,192,NA,White,Female
52239,Marchman,24,371,Third,White,Male
52240,Marchman,30,424,Second,Asian,Male
52241,Marchman,26,584,First,White,Male
52242,Marchman,30,588,First,White,Male
52243,Marchman,25,495,First,White,Female
52244,Marchman,26,490,Second,Hispanic,Female
52245,Marchman,25,89,First,Other,Female
52246,Marchman,24,494,First,White,Male
52247,Marchman,20,222,First,White,Female
52248,Marchman,20,63,Fourth,White,Female
52249,Marchman,27,549,Second,White,Female
52250,Marchman,21,232,Second,White,Male
52251,Marchman,22,127,First,Other,Male
52252,Marchman,24,478,First,Asian,Male
52253,Marchman,29,653,First,White,Female
52254,Marchman,30,622,Second,White,Female
52255,Marchman,29,633,First,White,Female
52256,Marchman,30,663,Second,Hispanic,Female
52257,Marchman,27,170,Second,White,Female
52258,Marchman,27,94,First,White,Female
52259,Marchman,16,80,First,White,Male
52260,Marchman,27,650,First,White,Female
52261,Marchman,18,16,First,Hispanic,Male
52262,Marchman,25,398,First,White,Female
52263,Marchman,18,508,Second,White,Male
52264,Marchman,19,88,First,Hispanic,Male
52265,Marchman,23,198,First,White,Male
52266,Marchman,16,6,First,White,Male
52267,Marchman,19,66,Second,White,Female
52268,Marchman,24,46,First,White,Male
52269,Marchman,23,450,First,White,Female
52270,Marchman,30,661,Second,Black,Male
52271,Marchman,24,400,First,White,Female
52272,Marchman,21,104,First,White,Male
52273,Marchman,19,142,Third,White,Male
52274,Marchman,25,344,First,White,Female
52275,Marchman,21,159,Second,White,Female
52276,Marchman,17,149,First,White,Female
52277,Marchman,18,163,First,White,Male
52278,Marchman,19,76,First,White,Female
52279,Marchman,29,672,Second,White,Female
52280,Marchman,18,52,First,White,Female
52281,Marchman,22,95,First,White,Male
52282,Marchman,16,121,First,White,Male
52283,Marchman,24,352,Second,White,Male
52284,Marchman,17,21,Second,Other,Female
52285,Marchman,19,84,First,White,Male
52286,Marchman,21,423,Second,White,Male
52287,Marchman,22,296,First,White,Female
52288,Marchman,27,479,First,White,Male
52289,Marchman,28,20,Second,White,Male
52290,Marchman,23,480,First,White,Female
52291,Marchman,19,154,First,White,Male
52292,Marchman,30,456,First,White,Male
52293,Marchman,24,528,First,Asian,Male
52294,Marchman,24,26,Second,White,Female
52295,Marchman,24,304,Second,White,Female
52296,Marchman,27,168,Second,White,Male
52297,Marchman,26,270,First,Hispanic,Male
52298,Marchman,26,304,Second,Hispanic,Male
52299,Marchman,29,434,Fourth,Hispanic,Male
52300,Marchman,17,93,First,White,Female
52301,Marchman,21,537,First,Asian,Female
52302,Marchman,28,590,Second,White,Female
52303,Marchman,26,566,First,White,Male
52304,Marchman,21,112,Second,White,Male
52305,Marchman,26,514,Second,White,Female
52306,Marchman,30,503,Second,White,Male
52307,Marchman,26,370,Second,White,Female
52308,Marchman,22,514,Second,White,Female
52309,Marchman,29,442,First,Hispanic,Female
52310,Marchman,27,576,First,White,Female
52311,Marchman,25,416,First,Asian,Male
52312,Marchman,30,408,Second,White,Male
52313,Marchman,17,48,First,White,Male
52314,Marchman,30,573,First,White,Male
52315,Marchman,29,438,Third,Hispanic,Female
52316,Marchman,17,68,First,White,Male
52317,Marchman,28,579,First,White,Female
52318,Marchman,17,75,Third,White,Female
52319,Marchman,24,327,First,Asian,Female
52320,Marchman,23,456,First,Hispanic,Female
52321,Marchman,25,99,Second,White,Male
52322,Marchman,17,245,First,White,Female
52323,Marchman,28,611,First,White,Male
52324,Marchman,16,101,First,White,Female
52325,Marchman,16,13,Second,White,Male
